001000		14
001001		10
001002		33
001003		48
001004		20
001005		39
001006		00
001007		10
001008		36
001009		28
00100a		10
00100b		30
00100c		30
00100d		10
00100e		15
00100f		48
001010		20
001011		61
001012		3C
001013		10
001014		03
001015		00
001016		10
001017		2A
001018		0C
001019		10
00101a		39
00101b		00
00101c		10
00101d		2D
00101e		0C
00101f		10
001020		36
001021		48
001022		20
001023		61
001024		08
001025		10
001026		33
001027		4C
001028		00
001029		00
00102a		45
00102b		4F
00102c		46
00102d		00
00102e		00
00102f		03
001030		00
001031		00
001032		00
001033		xx
001034		xx
001035		xx
001036		xx
001037		xx
001038		xx
001039		xx
00103A		xx
00103B		xx
00103C		xx
00103D		xx
00103E		xx
00103F		xx
001040		xx
001041		xx
001042		xx
001043		xx
001044		xx
001045		xx
001046		xx
001047		04
001048		10
001049		30
00104a		00
00104b		10
00104c		30
00104d		E0
00104e		20
00104f		5D
001050		30
001051		20
001052		3F
001053		D8
001054		20
001055		5D
001056		28
001057		10
001058		30
001059		30
00105a		20
00105b		57
00105c		54
00105d		90
00105e		39
00105f		2C
001060		20
001061		5E
001062		38
001063		20
001064		3F
001065		xx
001066		xx
001067		xx
001068		xx
001069		xx
00106A		xx
00106B		xx
00106C		xx
00106D		xx
00106E		xx
00106F		xx
001070		xx
001071		xx
001072		xx
001073		xx
001074		xx
001075		xx
001076		xx
001077		10
001078		10
001079		36
00107a		4C
00107b		00
00107c		00
00107d		00
00107e		00
00107f		00
001080		00
001081		10
001082		00
001083		04
001084		10
001085		30
001086		E0
001087		20
001088		79
001089		30
00108a		20
00108b		64
00108c		50
00108d		90
00108e		39
00108f		DC
001090		20
001091		79
001092		2C
001093		10
001094		36
